b0,f_V,dt_excess_Myr,destroyed
0.13,0.306,0.0,1.0
0.132,0.306,0.0,1.0
0.134,0.306,0.0,1.0
0.136,0.306,0.0,1.0
0.138,0.306,0.0,1.0
0.14,0.306,0.0,1.0
0.14200000000000002,0.306,0.0,1.0
0.14400000000000002,0.306,0.0,1.0
0.146,0.306,0.0,1.0
0.148,0.306,0.0,1.0
0.15,0.306,0.0,1.0
0.152,0.306,0.0,1.0
0.154,0.306,0.0,1.0
0.156,0.306,0.0,1.0
0.158,0.306,0.0,1.0
0.16,0.306,0.0,1.0
0.162,0.306,0.0,1.0
0.164,0.306,0.0,1.0
0.166,0.306,0.0,1.0
0.168,0.306,0.0,1.0
0.17,0.306,0.0,1.0
0.17200000000000001,0.306,0.0,1.0
0.17400000000000002,0.306,0.0,1.0
0.176,0.306,0.0,1.0
0.178,0.306,0.0,1.0
0.18,0.306,0.0,1.0
0.182,0.306,0.0,1.0
0.184,0.306,0.0,1.0
0.186,0.306,0.0,1.0
0.188,0.306,0.0,1.0
0.19,0.306,0.0,1.0
0.192,0.306,0.0,1.0
0.194,0.306,0.0,1.0
0.196,0.306,0.0,1.0
0.198,0.306,0.0,1.0
0.2,0.306,0.0,1.0
0.0,0.312,-0.0,1.0
0.002,0.312,0.0,1.0
0.004,0.312,0.0,1.0
0.006,0.312,0.0,1.0
0.008,0.312,0.0,1.0
0.01,0.312,0.0,1.0
0.012,0.312,0.0,1.0
0.014,0.312,0.0,1.0
0.016,0.312,0.0,1.0
0.018000000000000002,0.312,0.0,1.0
0.02,0.312,0.0,1.0
0.022,0.312,0.0,1.0
0.024,0.312,0.0,1.0
0.026000000000000002,0.312,0.0,1.0
0.028,0.312,0.0,1.0
0.03,0.312,0.0,1.0
0.032,0.312,0.0,1.0
0.034,0.312,0.0,1.0
0.036000000000000004,0.312,0.0,1.0
0.038,0.312,0.0,1.0
0.04,0.312,0.0,1.0
0.042,0.312,0.0,1.0
0.044,0.312,0.0,1.0
0.046,0.312,0.0,1.0
0.048,0.312,0.0,1.0
0.05,0.312,0.0,1.0
0.052000000000000005,0.312,0.0,1.0
0.054,0.312,0.0,1.0
0.056,0.312,0.0,1.0
0.058,0.312,0.0,1.0
0.06,0.312,0.0,1.0
0.062,0.312,0.0,1.0
0.064,0.312,0.0,1.0
0.066,0.312,0.0,1.0
0.068,0.312,0.0,1.0
0.07,0.312,0.0,1.0
0.07200000000000001,0.312,0.0,1.0
0.074,0.312,0.0,1.0
0.076,0.312,0.0,1.0
0.078,0.312,0.0,1.0
0.08,0.312,0.0,1.0
0.082,0.312,0.0,1.0
0.084,0.312,0.0,1.0
0.08600000000000001,0.312,0.0,1.0
0.088,0.312,0.0,1.0
0.09,0.312,0.0,1.0
0.092,0.312,0.0,1.0
0.094,0.312,0.0,1.0
0.096,0.312,0.0,1.0
0.098,0.312,0.0,1.0
0.1,0.312,0.0,1.0
0.10200000000000001,0.312,0.0,1.0
0.10400000000000001,0.312,0.0,1.0
0.106,0.312,0.0,1.0
0.108,0.312,0.0,1.0
0.11,0.312,0.0,1.0
0.112,0.312,0.0,1.0
0.114,0.312,0.0,1.0
0.116,0.312,0.0,1.0
0.11800000000000001,0.312,0.0,1.0
0.12,0.312,0.0,1.0
0.122,0.312,0.0,1.0
0.124,0.312,0.0,1.0
0.126,0.312,0.0,1.0
0.128,0.312,0.0,1.0
0.13,0.312,0.0,1.0
0.132,0.312,0.0,1.0
0.134,0.312,0.0,1.0
0.136,0.312,0.0,1.0
0.138,0.312,0.0,1.0
0.14,0.312,0.0,1.0
0.14200000000000002,0.312,0.0,1.0
0.14400000000000002,0.312,0.0,1.0
0.146,0.312,0.0,1.0
0.148,0.312,0.0,1.0
0.15,0.312,0.0,1.0
0.152,0.312,0.0,1.0
0.154,0.312,0.0,1.0
0.156,0.312,0.0,1.0
0.158,0.312,0.0,1.0
0.16,0.312,0.0,1.0
0.162,0.312,0.0,1.0
0.164,0.312,0.0,1.0
0.166,0.312,0.0,1.0
0.168,0.312,0.0,1.0
0.17,0.312,0.0,1.0
0.17200000000000001,0.312,0.0,1.0
0.17400000000000002,0.312,0.0,1.0
0.176,0.312,0.0,1.0
0.178,0.312,0.0,1.0
